Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
26.04.2013;6;11,3;18,3;1,9;8,9;5,5;64;86,7;100;9;43
27.04.2013;4,9;7,2;9,9;0,8;0,0;3,9;55;75,9;99;10;33
28.04.2013;2,2;7,6;12,9;7,9;0,0;0,7;40;70;93;8;22
29.04.2013;4;9;13,9;6,3;0,0;1,7;42;68,7;97;10;39
30.04.2013;1,9;9,7;15,7;5,1;0,0;-0,1;40;65;100;7;33
01.05.2013;7,3;13,2;18,9;5,7;0,0;6,1;49;61,6;78;9;26
02.05.2013;9,5;14,8;21;6,1;0,0;7,2;50;67,8;91;8;33
03.05.2013;6,8;13,6;19,9;9,4;0,0;4,5;45;72;100;6;22
04.05.2013;6,9;13,7;20;12,5;0,0;4,6;43;66,2;98;8;31
05.05.2013;5,2;13,7;20,9;13,4;0,0;3,2;40;65,2;100;6;19
06.05.2013;6,9;17,5;25,3;10;0,0;5;30;56,8;97;7;26
07.05.2013;9,9;15,2;22;5,7;11,3;7,6;58;86;100;6;37
08.05.2013;10,3;15,3;22,9;5,9;1,1;8,6;61;88,5;100;8;44
09.05.2013;11,2;14,7;19,8;5,5;0,7;9,2;55;76,7;100;7;30
10.05.2013;9;12,6;16,3;4,5;0,1;6,4;60;72,8;92;10;41
11.05.2013;6,4;11,1;16;4,3;1,3;4;60;82;100;8;48
12.05.2013;6,2;9,9;14;5,4;3,9;5,9;62;79,1;93;11;44
13.05.2013;7,8;11,5;16,3;1,5;0,1;7,4;57;82,5;100;10;43
14.05.2013;7,9;10,8;14;3,3;0,3;5,8;58;75,7;99;8;35
15.05.2013;8,9;12,3;16,5;1,2;2,2;7,2;70;89;100;5;30
16.05.2013;9,1;12,7;18;0,1;11,1;7,3;74;92;100;6;24
17.05.2013;8,8;9,8;11,1;0;0,3;8,8;91;96,3;100;8;22
18.05.2013;7,9;11;16,4;3,8;0,0;5,2;61;83,7;96;6;26
19.05.2013;5,8;14,3;21,9;14,5;3,1;3,7;48;75,5;100;9;35
20.05.2013;10,6;12,2;16;1,2;2,6;9,1;73;88,4;100;8;26
21.05.2013;7,6;12,4;17,3;6,4;12,5;5,4;60;83,4;99;9;33
22.05.2013;7,2;9;10,8;0;4,1;5,3;74;86,9;100;14;41
23.05.2013;3;6,3;9,5;1,7;3,6;0,6;73;88,7;100;7;37
24.05.2013;1,5;8;15,3;10,8;0,0;-0,9;39;72,5;100;6;26
25.05.2013;2,2;9,2;15,7;7,2;4,9;0;47;76,4;100;10;44
26.05.2013;7,1;9;11,5;0;3,3;6,9;74;90,8;100;14;43
27.05.2013;8,1;13,4;20,2;12,7;0,0;6,6;36;66,6;94;9;33
28.05.2013;6,3;16;23,5;13,1;2,4;3,8;37;66,5;100;6;30
29.05.2013;8,9;10;13;0;13,9;9;88;96,5;100;9;33
30.05.2013;8,6;12,1;16,6;2,6;1,0;8,6;57;78,9;100;7;26
31.05.2013;11,7;16,2;22,4;4,2;0,0;11,4;46;74,1;99;16;57
01.06.2013;9,5;12,1;14,2;0,4;0;8,7;76;84,8;91;16;44
02.06.2013;7,8;12,8;18,5;12,3;0;5,5;42;62,5;91;14;44
03.06.2013;6,8;12,1;18,2;7,8;0;4,4;46;65,5;88;10;33
04.06.2013;7,3;14;22,1;10,8;0;5,3;48;70,6;98;7;33
05.06.2013;8,2;16,8;24,8;11,1;0;4,9;47;72;100;5;22
06.06.2013;10,4;19,1;26,8;11,6;0;6,8;36;59,3;93;6;28
07.06.2013;9,8;19,5;27,1;12,2;0;7,2;39;63,3;100;5;24
08.06.2013;14,9;19,4;25,8;9,3;0;13;51;64,8;76;10;33
09.06.2013;11,5;15;17,9;1,3;0;11,8;69;77,8;88;10;35
10.06.2013;11,1;14,7;19,1;8,3;0;10;52;69,5;82;9;31
11.06.2013;10,4;17;22,8;8,5;0;8,1;45;64,9;91;5;19
12.06.2013;14,9;19,3;23,2;2,7;0,2;13,3;62;72,8;87;9;30
13.06.2013;11,6;17,8;25,1;2,3;9,2;10,3;60;83,6;98;10;43
14.06.2013;10,1;14,4;19;5,6;0;8,3;53;74,8;92;7;31
15.06.2013;9,6;15,7;20,7;8,7;2,9;7,3;43;69,5;96;10;59
16.06.2013;11,7;16,5;21,3;3,6;0;9,1;47;62,1;80;7;28
17.06.2013;14;20,8;26,3;9,5;0,5;11,4;52;64;80;8;33
18.06.2013;16,2;24,5;33;13,3;1,1;14,7;40;70,8;100;4;19
19.06.2013;19,3;25,3;32,4;6,2;0,1;17,2;51;76,2;100;8;37
20.06.2013;15,9;20,9;24,3;6,4;17,1;15,7;72;87,1;98;8;41
21.06.2013;15,1;17,1;20,9;2;1,3;14,1;71;86,8;100;10;39
22.06.2013;13,1;18;22,7;1,5;1,1;12,7;62;75,2;91;11;39
23.06.2013;12,3;15,1;18,3;4;0;11,9;67;79,8;96;11;48
24.06.2013;11,7;13,8;16,4;0,7;1,3;11,3;71;84,6;99;9;33
25.06.2013;8,5;13,4;17,6;1,5;0;6,2;51;74,2;94;10;33
26.06.2013;6,2;12,3;17,2;1,6;3,7;4,1;55;76,1;100;6;28
27.06.2013;9,6;12,7;16,2;2,4;4,5;7,7;67;82,9;100;8;39
28.06.2013;9,9;12,7;15,5;0;14,9;9,3;85;92,8;100;7;26
29.06.2013;8,2;15;18,6;6,1;0;6,3;48;78,3;100;13;41
30.06.2013;7;14,8;20,7;4,8;0;5,2;59;78,5;100;5;24
01.07.2013;12,2;16,9;22,2;6,9;0;9,7;61;82,1;100;7;30
02.07.2013;11,5;17,9;24,2;10,1;2,4;9,8;44;73,3;100;5;26
03.07.2013;15,3;17,2;19,5;0,1;10,7;13,4;76;94;100;5;33
04.07.2013;13,6;17,9;23,3;4,3;0;11,8;62;83,2;100;7;33
05.07.2013;14,8;19;23,5;4,6;0;12,8;64;81,8;100;5;26
06.07.2013;13,7;20,9;27,3;13,5;0;11,6;50;73,1;100;6;26
07.07.2013;13,7;21,8;28;15,1;0;11,4;42;64,3;99;7;30
08.07.2013;14,2;22,1;28,2;15,1;0;11,4;44;63,2;92;9;33
09.07.2013;15,4;21,9;28;14,6;0;13,2;48;64;86;8;30
10.07.2013;14,5;18,3;23,1;10,6;0;13,8;56;68,9;85;11;35
11.07.2013;10,8;15,1;19;1,3;0;7,6;58;74,5;96;7;26
12.07.2013;10,8;15,6;19,8;6;0;8,3;59;76,6;96;6;26
