,Datum,Tmit,Sges,Rges
220,08.08.2012,"17,5","9,2",0
221,09.08.2012,"18,5",6,0
222,10.08.2012,"16,5","12,5",0
223,11.08.2012,"17,3","11,5",0
224,12.08.2012,"19,8","14,2",0
225,13.08.2012,"21,4","10,5",0
226,14.08.2012,"21,3","7,8",16
227,15.08.2012,"23,9","8,6","13,5"
228,16.08.2012,"20,6","10,7",0
229,17.08.2012,"22,8","12,5",0
230,18.08.2012,"26,2","13,7",0
231,19.08.2012,"28,6","12,1",0
232,20.08.2012,25,"5,9","0,3"
233,21.08.2012,"23,8","8,9","0,6"
234,22.08.2012,"19,9","6,5",0
235,23.08.2012,"18,9","13,4","1,8"
236,24.08.2012,"19,3","7,9","3,8"
237,25.08.2012,"19,6","5,2","2,1"
238,26.08.2012,"16,3","0,6","12,3"
239,27.08.2012,"17,7","12,2","0,1"
240,28.08.2012,"20,1","6,4",0
241,29.08.2012,"20,9","10,1",0
242,30.08.2012,"18,2",5,"0,3"
243,31.08.2012,"13,9","0,8","4,1"
244,01.09.2012,"14,2","9,3",0
245,02.09.2012,"16,2","9,4",0
246,03.09.2012,"16,7","2,8",0
247,04.09.2012,18,"12,3",0
248,05.09.2012,"17,4","6,3",0
249,06.09.2012,"14,9","6,7",0
250,07.09.2012,"16,7","12,1",0
251,08.09.2012,"18,6","12,3",0
252,09.09.2012,"21,2","12,4",0
253,10.09.2012,"21,2","7,3","0,5"
254,11.09.2012,"17,5",0,"8,7"
255,12.09.2012,"12,7","4,2","1,1"
256,13.09.2012,"11,9","0,1","0,2"
257,14.09.2012,13,"2,2","1,5"
258,15.09.2012,"14,6","3,9",0
259,16.09.2012,"15,3","10,9",0
260,17.09.2012,"14,9","1,7",0
261,18.09.2012,"14,9",3,0
262,19.09.2012,"11,5","6,5","0,2"
263,20.09.2012,"10,9","8,4",0
264,21.09.2012,"12,1","3,5",1
265,22.09.2012,"11,6","6,7",0
266,23.09.2012,12,"0,7","4,7"
267,24.09.2012,"15,8","1,3","13,4"
268,25.09.2012,"13,8","0,3","6,2"
269,26.09.2012,"13,1","0,3","1,8"
270,27.09.2012,"13,6","3,8",2
271,28.09.2012,"13,5","3,7","0,2"
272,29.09.2012,"12,3","4,3","0,2"
273,30.09.2012,"10,5","10,9",0
274,01.10.2012,"12,5","10,6",0
275,02.10.2012,"13,7",0,1
276,03.10.2012,"14,5","1,7","22,3"
277,04.10.2012,"11,6","2,6","11,5"
278,05.10.2012,"12,9","0,1","9,2"
279,06.10.2012,"12,3","0,8","4,5"
280,07.10.2012,10,"6,6",0
281,08.10.2012,"9,8","7,3",0
282,09.10.2012,10,"7,4",0
283,10.10.2012,"7,8","7,5",0
284,11.10.2012,"9,7","9,8","0,5"
285,12.10.2012,12,"0,9","6,8"
286,13.10.2012,"9,9","0,9","7,6"
287,14.10.2012,"8,4","1,3","0,1"
288,15.10.2012,"9,5","3,9","0,5"
289,16.10.2012,"8,9","2,3","2,2"
290,17.10.2012,"11,3",0,"1,4"
291,18.10.2012,"16,9","6,1",0
292,19.10.2012,"17,7","8,7",0
293,20.10.2012,"17,2","0,7",0
294,21.10.2012,"16,6",6,0
295,22.10.2012,"16,2","9,2",0
296,23.10.2012,"13,4","8,6",0
297,24.10.2012,"11,7",8,0
298,25.10.2012,"10,4",0,0
299,26.10.2012,"6,9",0,0
300,27.10.2012,"3,4","8,9",0
301,28.10.2012,"1,8","5,3",0
302,29.10.2012,"3,8",0,"6,8"
303,30.10.2012,"7,9","0,6","0,9"
304,31.10.2012,"8,3","7,5",0
305,01.11.2012,"7,9","0,6","7,7"
306,02.11.2012,"8,1",1,"1,7"
307,03.11.2012,"6,6","1,8","3,5"
308,04.11.2012,"7,2","0,7","1,5"
309,05.11.2012,"7,3","0,5","0,1"
310,06.11.2012,"6,7","5,8","3,1"
311,07.11.2012,"9,2",0,"0,8"
312,08.11.2012,"9,6",0,0
313,09.11.2012,"9,5","1,5","1,6"
314,10.11.2012,"10,5","0,6","1,9"
315,11.11.2012,"9,2","3,8",0
316,12.11.2012,"7,1","3,9",0
317,13.11.2012,7,0,0
318,14.11.2012,"6,6","8,4",0
319,15.11.2012,5,0,0
320,16.11.2012,"4,2","2,1",0
321,17.11.2012,"6,2","6,1","0,7"
322,18.11.2012,"7,8",0,"2,3"
323,19.11.2012,"7,9","2,1",0
324,20.11.2012,"6,7","6,8",0
325,21.11.2012,"6,1","1,3","0,6"
326,22.11.2012,"8,5","7,7",0
327,23.11.2012,"7,8",0,"10,6"
328,24.11.2012,"9,3",0,"0,1"
329,25.11.2012,"11,1","3,4",0
330,26.11.2012,"7,9",0,"4,6"
331,27.11.2012,"8,8","1,4",0
332,28.11.2012,6,0,0
333,29.11.2012,"4,3",0,0
334,30.11.2012,"2,4",0,"0,1"
335,01.12.2012,"2,4",0,"5,2"
336,02.12.2012,"3,2","0,7","0,4"
337,03.12.2012,"2,8",0,"4,7"
338,04.12.2012,"4,3",1,1
339,05.12.2012,"2,9","1,5","0,1"
340,06.12.2012,"1,1","2,6",0
341,07.12.2012,"-0,2",0,"6,1"
342,08.12.2012,"-2,9","6,9","3,2"
343,09.12.2012,"1,7",0,5
344,10.12.2012,3,0,1
345,11.12.2012,"0,4","3,9",0
346,12.12.2012,"0,3","0,7","0,1"
347,13.12.2012,"-0,2","0,7","0,1"
348,14.12.2012,"4,6",0,"9,7"
349,15.12.2012,"8,5","1,3",3
350,16.12.2012,"7,7",0,"7,9"
351,17.12.2012,"7,1",0,"1,1"
352,18.12.2012,"6,4",0,"0,6"
353,19.12.2012,"5,6",0,"0,3"
354,20.12.2012,"3,3","2,3","7,3"
355,21.12.2012,"4,8",0,"0,8"
356,22.12.2012,"7,3",0,"19,8"
357,23.12.2012,"10,9",0,"11,1"
358,24.12.2012,"10,6","0,3","0,5"
359,25.12.2012,"10,2","0,8","2,6"
360,26.12.2012,"8,1","1,1","9,3"
361,27.12.2012,"8,1","1,5","11,2"
362,28.12.2012,"6,5","0,4","1,7"
363,29.12.2012,"10,3","4,4","2,2"
364,30.12.2012,"7,8","2,7","1,1"
365,31.12.2012,"9,6",0,"2,7"
366,01.01.2013,"6,9",0,"7,1"
367,02.01.2013,"6,1","0,1","0,4"
368,03.01.2013,9,0,"1,1"
369,04.01.2013,"9,5",0,"2,7"
370,05.01.2013,"7,9",0,"0,5"
371,06.01.2013,"8,3",0,"0,0"
372,07.01.2013,"8,5",0,"0,0"
373,08.01.2013,"6,8",0,"0,2"
374,09.01.2013,"5,7",0,"8,5"
375,10.01.2013,"5,3","0,6","3,2"
376,11.01.2013,"0,1","4,2","0,0"
377,12.01.2013,"-0,9","7,4","0,0"
378,13.01.2013,"-1,4","5,5","1,4"
379,14.01.2013,"-2,1",0,"2,3"
380,15.01.2013,"-1,8",0,"2,4"
381,16.01.2013,"-2,6",0,"0,1"
382,17.01.2013,"-2,4",0,"0,0"
383,18.01.2013,"-1,3","0,3","0,0"
384,19.01.2013,"-2,8","1,3","0,0"
385,20.01.2013,"-3,1",0,"5,2"
386,21.01.2013,"-0,1",0,"0,2"
387,22.01.2013,0,0,"0,0"
388,23.01.2013,-1,0,"0,0"
389,24.01.2013,"-2,7","0,4","0,0"
390,25.01.2013,"-1,6",0,"0,0"
391,26.01.2013,"-1,4","2,5","0,0"
392,27.01.2013,"2,8",0,"3,6"
393,28.01.2013,"4,2","0,8","1,1"
394,29.01.2013,"10,1",0,"6,3"
395,30.01.2013,"11,6","0,5","3,0"
396,31.01.2013,8,"0,4","2,7"
397,01.02.2013,"6,1",0,"11,0"
398,02.02.2013,"3,6","2,1","0,9"
399,03.02.2013,"3,9",0,"4,7"
400,04.02.2013,"7,3","0,2","1,7"
401,05.02.2013,4,"2,4","3,8"
402,06.02.2013,"1,6","3,1","5,9"
403,07.02.2013,"2,2","2,8","0,4"
404,08.02.2013,1,"0,6","1,0"
405,09.02.2013,"-0,1","4,4","0,0"
406,10.02.2013,"-0,4","8,4","0,0"
407,11.02.2013,"-0,1","0,2","0,0"
408,12.02.2013,"-0,5",0,"0,0"
409,13.02.2013,"-0,2","0,3","0,0"
410,14.02.2013,"-0,7","1,3","0,0"
411,15.02.2013,2,0,"1,4"
412,16.02.2013,5,0,"0,4"
413,17.02.2013,"4,8","3,3","0,0"
414,18.02.2013,"2,8","8,9","0,0"
415,19.02.2013,"2,5",0,"1,7"
416,20.02.2013,"0,3",3,"0,0"
417,21.02.2013,"-0,4","1,5","0,1"
418,22.02.2013,"-1,8","1,2","0,0"
419,23.02.2013,"-1,9",0,"0,0"
420,24.02.2013,"0,5",0,"2,2"
421,25.02.2013,"1,8",0,"1,3"
422,26.02.2013,3,"3,6","0,0"
423,27.02.2013,"1,3",0,"0,0"
424,28.02.2013,"3,2",0,"0,0"
425,01.03.2013,"3,1",0,"0,2"
426,02.03.2013,"2,9","4,1","0,0"
427,03.03.2013,3,0,"0,1"
428,04.03.2013,"5,7","10,7","0,0"
429,05.03.2013,"8,9","9,8","0,0"
430,06.03.2013,"12,1","9,8","0,0"
431,07.03.2013,"10,8",0,"2,0"
432,08.03.2013,"12,8","4,7","2,8"
433,09.03.2013,9,0,"11,1"
434,10.03.2013,"2,1",0,"1,8"
435,11.03.2013,"-1,8",0,"0,5"
436,12.03.2013,"-2,5",0,"0,7"
437,13.03.2013,-2,"7,7","0,5"
438,14.03.2013,"-0,4","4,8","0,4"
439,15.03.2013,"0,2","4,1","0,0"
440,16.03.2013,"4,9",6,"2,6"
441,17.03.2013,"4,8","4,2","0,5"
442,18.03.2013,"7,1","8,3","0,0"
443,19.03.2013,"4,7","1,4","2,0"
444,20.03.2013,"1,7",0,"9,6"
445,21.03.2013,"1,2","2,1","0,2"
446,22.03.2013,"1,5",7,"0,0"
447,23.03.2013,"0,8","0,9","0,0"
448,24.03.2013,"0,3","2,9","0,0"
449,25.03.2013,"0,4",11,"0,0"
450,26.03.2013,"0,7","11,7","0,0"
451,27.03.2013,"1,4","11,8","0,0"
452,28.03.2013,"1,8","3,5","0,0"
453,29.03.2013,"0,3","2,1","0,4"
454,30.03.2013,"1,6",7,"0,0"
455,31.03.2013,"1,5",2,"0,0"
456,01.04.2013,"2,8","12,1",0
457,02.04.2013,"3,2","12,3",0
458,03.04.2013,3,2,-
459,04.04.2013,"4,1","3,9",0
460,05.04.2013,3,0,0
461,06.04.2013,"4,4","2,1",0
462,07.04.2013,"6,4","12,6",0
463,08.04.2013,7,"4,5","4,1"
464,09.04.2013,"6,7","2,1","2,5"
465,10.04.2013,"8,4",0,"6,3"
466,11.04.2013,"11,4","0,9",0
467,12.04.2013,"10,8",4,"0,8"
468,13.04.2013,"11,8","5,1","0,1"
469,14.04.2013,"16,7","4,9",0
470,15.04.2013,"16,1","6,4","0,3"
471,16.04.2013,16,6,0
472,17.04.2013,"18,1","5,8",0
473,18.04.2013,"15,8","10,3",0
474,19.04.2013,"10,3","4,4",0
475,20.04.2013,"8,6","12,3",0
476,21.04.2013,"9,8","1,1",0
477,22.04.2013,"12,1",12,0
478,23.04.2013,"12,5","0,9",0
479,24.04.2013,"15,7","12,6",0
480,25.04.2013,"17,9","9,4",0
481,26.04.2013,"12,1","1,8","10,8"
482,27.04.2013,"7,7","0,8",0
483,28.04.2013,8,"8,1",0
484,29.04.2013,"9,9","5,8",0
485,30.04.2013,"10,6","5,2",0
486,01.05.2013,"13,4","7,2","0,0"
487,02.05.2013,"15,3","7,3","0,0"
488,03.05.2013,"14,4","10,7","0,0"
489,04.05.2013,"14,7","11,7","0,0"
490,05.05.2013,"14,8","13,6","0,0"
491,06.05.2013,"18,2","9,6","0,0"
492,07.05.2013,"15,8","5,1","8,3"
493,08.05.2013,"15,6","6,1","3,8"
494,09.05.2013,"15,5","7,1","0,6"
495,10.05.2013,"13,3","4,2","0,0"
496,11.05.2013,12,"4,1","2,8"
497,12.05.2013,10,"3,4","5,3"
498,13.05.2013,"11,9",2,"0,1"
499,14.05.2013,"11,3",3,"0,2"
500,15.05.2013,"12,5","1,1","3,7"
501,16.05.2013,"13,1",0,"10,9"
502,17.05.2013,"10,2",0,"0,5"
503,18.05.2013,"11,2","4,1","0,0"
504,19.05.2013,"14,6","14,6","2,7"
505,20.05.2013,"12,5","1,6","2,4"
506,21.05.2013,"12,8","4,3","14,3"
507,22.05.2013,"9,2","0,1","2,6"
508,23.05.2013,"6,9","2,6","5,0"
509,24.05.2013,"8,7","9,7","0,0"
510,25.05.2013,10,"7,8","5,4"
511,26.05.2013,"9,2",0,"4,7"
512,27.05.2013,"13,9","12,5","0,0"
513,28.05.2013,"16,6","11,8","0,1"
514,29.05.2013,"10,5",0,"15,0"
515,30.05.2013,"12,6","3,1","1,1"
516,31.05.2013,"16,6","4,8","0,0"
517,01.06.2013,"12,5","0,1",0
518,02.06.2013,"13,3","12,5",0
519,03.06.2013,"12,5","7,9",0
520,04.06.2013,"14,7","10,6",0
521,05.06.2013,"17,8","9,7",0
522,06.06.2013,"19,9","10,6",0
523,07.06.2013,"20,4","13,1",0
524,08.06.2013,"19,9","9,8",0
525,09.06.2013,"15,3",0,0
526,10.06.2013,"15,2","9,4",0
527,11.06.2013,"17,7","10,4",0
528,12.06.2013,20,"3,7","0,6"
529,13.06.2013,18,"2,2","11,1"
530,14.06.2013,15,"5,7",0
531,15.06.2013,"16,6",9,"0,6"
532,16.06.2013,17,"2,9",0
533,17.06.2013,"20,8","9,5","0,7"
534,18.06.2013,"25,1","13,1","0,6"
535,19.06.2013,"25,9","6,7",0
536,20.06.2013,"21,2","6,8","14,9"
537,21.06.2013,"17,6","2,6","0,5"
538,22.06.2013,"18,5",2,"2,1"
539,23.06.2013,"15,5","4,4",0
540,24.06.2013,"14,3","0,6","0,5"
541,25.06.2013,"13,8","1,7",0
542,26.06.2013,"13,4","1,8",3
543,27.06.2013,"13,2","2,9","8,1"
544,28.06.2013,"12,9",0,17
545,29.06.2013,"15,3","5,9",0
546,30.06.2013,"15,6","5,1",0
547,01.07.2013,"17,5","6,6",0
548,02.07.2013,"18,7","10,3",3
549,03.07.2013,"17,6",0,"11,9"
550,04.07.2013,"18,6","5,3",0
551,05.07.2013,"19,7","5,7",0
552,06.07.2013,"21,5","14,5",0
553,07.07.2013,"22,2","15,1",0
554,08.07.2013,"22,7","15,1",0
555,09.07.2013,"22,1","14,6",0
556,10.07.2013,"18,7","11,4",0
557,11.07.2013,"15,7","0,3",0
558,12.07.2013,16,"5,3",0
559,13.07.2013,"18,2","5,9",0
560,14.07.2013,"17,7","13,3",0
561,15.07.2013,"20,7","12,5",0
562,16.07.2013,"21,9",13,0
563,17.07.2013,"22,7","10,8",0
564,18.07.2013,"24,2","14,3",0
565,19.07.2013,"22,6","12,9",0
566,20.07.2013,"19,4","8,1",0
567,21.07.2013,24,"14,8",0
568,22.07.2013,"26,6","13,3",0
569,23.07.2013,"24,9","7,7",1
570,24.07.2013,"22,5","3,6","0,4"
571,25.07.2013,"22,4","10,2","6,5"
572,26.07.2013,"23,2","3,4",0
573,27.07.2013,"24,8","11,3","1,1"
574,28.07.2013,"22,1","3,5",0
575,29.07.2013,"21,9","7,5",0
576,30.07.2013,"19,4","5,3","7,1"
577,31.07.2013,"20,6",6,0
578,01.08.2013,"24,6","13,8",0
579,02.08.2013,"28,6",14,"1,6"
580,03.08.2013,"23,8","10,1",0
581,04.08.2013,"22,8","12,2",0
582,05.08.2013,25,"12,8",0
583,06.08.2013,"21,8","10,2",0
584,07.08.2013,"18,9","1,9","2,3"
585,08.08.2013,"17,5","3,7","0,1"
586,09.08.2013,"19,1","6,8",0
587,10.08.2013,"18,3",5,0
588,11.08.2013,"17,8","3,8","1,8"
589,12.08.2013,"17,8","4,2",0
590,13.08.2013,"16,3","7,1","1,9"
591,14.08.2013,"15,6","3,6",0
592,15.08.2013,"17,6","3,9",0
593,16.08.2013,22,"12,9","0,3"
594,17.08.2013,"21,6","8,6",0
595,18.08.2013,"20,1","1,6",6
596,19.08.2013,"17,2","4,4","1,3"
597,20.08.2013,"15,7","6,5",0
598,21.08.2013,"17,4","12,9",0
599,22.08.2013,"19,6","10,6",0
600,23.08.2013,22,"11,4",0
601,24.08.2013,19,"4,7","4,3"
602,25.08.2013,17,"0,7","8,3"
603,26.08.2013,"17,5","3,8",0
604,27.08.2013,"19,2","10,3",0
605,28.08.2013,"17,9","5,6",0
606,29.08.2013,18,"11,6",0
607,30.08.2013,"18,3","8,7",0
608,31.08.2013,"17,5","3,7","1,9"
609,01.09.2013,15,"5,6",0
610,02.09.2013,"17,2","1,4",0
611,03.09.2013,"18,4","0,5",0
612,04.09.2013,"20,3","12,6",0
613,05.09.2013,"24,1","12,6",0
614,06.09.2013,"22,5","8,6","10,5"
615,07.09.2013,18,1,"19,4"
616,08.09.2013,"14,2","1,7","9,9"
617,09.09.2013,"14,3","4,8","9,1"
618,10.09.2013,"12,5","0,9","16,4"
619,11.09.2013,"13,5","1,2",1
620,12.09.2013,"14,2",3,"4,5"
621,13.09.2013,"16,1","4,8","4,2"
622,14.09.2013,"15,5",0,3
623,15.09.2013,"13,6",5,"9,8"
624,16.09.2013,"12,4","5,8","2,6"
625,17.09.2013,"10,8","5,7","6,2"
626,18.09.2013,"12,2","1,7","0,4"
627,19.09.2013,"12,7","3,5","0,2"
628,20.09.2013,"14,4",0,0
629,21.09.2013,"13,3","6,2",0
630,22.09.2013,"15,1",1,0
631,23.09.2013,"16,6","2,3",0
632,24.09.2013,"16,1","5,7",0
633,25.09.2013,"15,2","6,1",0
634,26.09.2013,14,"5,5",0
635,27.09.2013,"12,2","10,1",0
636,28.09.2013,"12,1","10,7",0
637,29.09.2013,"12,9","11,2",0
638,30.09.2013,"11,9","10,8",0
639,01.10.2013,"12,5","10,5",0
640,02.10.2013,11,"10,8",0
641,03.10.2013,"12,9","9,7","1,4"
642,04.10.2013,"14,1","3,1","1,4"
643,05.10.2013,"15,4","1,2","0,2"
644,06.10.2013,"13,5","1,9",0
645,07.10.2013,"13,3","9,7",0
646,08.10.2013,"15,1","0,1",0
